Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating,Path
The Fosters,(2009),"Action,Sci-Fi","In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.","https://m.media-amazon.com/images/M/MV5BMTY3MDMyMTYxMl5BMl5BanBnXkFtZTcwMjk0NzI0MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",445934,https://www.imdb.com/title/tt0445934/,100 min,UA,"86,060",8.2,Posters/445934.jpg
The Last House on the Left,(2003),"Adventure,Family,Fantasy","The early life of Queen Victoria, from her ascension to the throne at the tender age of 18 to her courtship and marriage to Prince Albert.","https://m.media-amazon.com/images/M/MV5BNWZhNGZjM2YtNDllMC00MWE5LWIyYWItODY5ZDE5MTE5YWU5XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",5137338,https://www.imdb.com/title/tt5137338/,45 min,R,"315,928",7.7,Posters/5137338.jpg
The Matrix Revolutions,(2008),"Comedy,Sport","A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together.","https://m.media-amazon.com/images/M/MV5BZGY5NDIwNWMtN2IxZC00ODYxLWI1ZjgtOTQ4ZjhlYzMyZGEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",127723,https://www.imdb.com/title/tt0127723/,102 min,PG-13,"83,776",7.2,Posters/127723.jpg
Inkheart,(2006),"Biography,Drama,History","Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe.","https://m.media-amazon.com/images/M/MV5BMjgyNDk4ZTYtM2EzNC00MmU3LTg2MmQtYjdlMjA4ZmEwNzU5XkEyXkFqcGdeQXVyMzU5Njg5MDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",1492179,https://www.imdb.com/title/tt1492179/,30 min,U,"27,717",6.0,Posters/1492179.jpg
Blades of Glory,(2016–2019),"Comedy,Romance",A chronicle of a young man's rise to power in Paris via his manipulation of the city's wealthiest and most influential women.,"https://m.media-amazon.com/images/M/MV5BMTY4NzI0MDgxOF5BMl5BanBnXkFtZTcwODU4MDE2Nw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1440732,https://www.imdb.com/title/tt1440732/,89 min,R,"25,972",6.4,Posters/1440732.jpg
Victoria,(1998),"Action,Drama,Thriller",A female rap group from outside of Miami trying to make it in the music industry.,"https://m.media-amazon.com/images/M/MV5BYTI0MmMyNTYtOGYyMy00ZDk1LWJmZmUtOTdhYWMyZTIyMTFmXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_QL75_UX280_CR0,3,280,414_.jpg",11212198,https://www.imdb.com/title/tt11212198/,11 min,UA,"27,885",5.9,Posters/11212198.jpg
Can't Hardly Wait,(2010–2020),"Comedy,Crime,Mystery",Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,"https://m.media-amazon.com/images/M/MV5BMTQyMTk4NjkyMl5BMl5BanBnXkFtZTcwMzA2OTY4OA@@._V1_QL75_UX280_CR0,3,280,414_.jpg",765446,https://www.imdb.com/title/tt0765446/,90 min,PG-13,"29,347",7.2,Posters/765446.jpg
Strike Back,(2020– ),"Crime,Drama,History",The daily adventures of penguins living in New York's Central Park Zoo.,"https://m.media-amazon.com/images/M/MV5BNzY0MDdhNzQtNWU0NS00MjZkLThkZTAtMDMzM2YzNGZmYTI1XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_QL75_UX280_CR0,3,280,414_.jpg",892700,https://www.imdb.com/title/tt0892700/,42 min,R,"48,987",6.2,Posters/892700.jpg
Rap Sh!t,(2022– ),"Animation,Adventure,Comedy","The Civil War is past, but former Confederate soldier Cullen Bohannon can't put it behind him. Fresh are the memories of the death of his wife, killed at the hands of the Union soldiers, an act that sets him on a course of revenge.","https://m.media-amazon.com/images/M/MV5BMjM5ODQ5Nzc3OF5BMl5BanBnXkFtZTgwOTQzMzM4NjE@._V1_QL75_UX280_CR0,3,280,414_.jpg",1699748,https://www.imdb.com/title/tt1699748/,110 min,R,"53,897",7.3,Posters/1699748.jpg
Escape from Planet Earth,(2012),"Animation,Short,Action","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","https://m.media-amazon.com/images/M/MV5BYmJhZmJlYTItZmZlNy00MGY0LTg0ZGMtNWFkYWU5NTA1YTNhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",4430212,https://www.imdb.com/title/tt4430212/,93 min,UA,"46,570",7.0,Posters/4430212.jpg
The Penguins of Madagascar,(2008–2015),"Drama,Western","A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.","https://m.media-amazon.com/images/M/MV5BZjczMWI1YWMtYTZjOS00ZDc5LWE2MWItMTY3ZGUxNzFkNjJmL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",425210,https://www.imdb.com/title/tt0425210/,98 min,18,"97,445",7.4,Posters/425210.jpg
Hell on Wheels,(2011–2016),"Crime,Drama,Mystery","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","https://m.media-amazon.com/images/M/MV5BMTgxNDM5MDM1Ml5BMl5BanBnXkFtZTcwOTYwNzQ3Nw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",2125435,https://www.imdb.com/title/tt2125435/,106 min,U,"269,733",6.9,Posters/2125435.jpg
Drishyam,(2015),"Crime,Drama,Thriller","With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.","https://m.media-amazon.com/images/M/MV5BMTI1NjIzMzg5OF5BMl5BanBnXkFtZTcwMjI2ODcyMQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",396652,https://www.imdb.com/title/tt0396652/,120 min,18,"286,468",7.4,Posters/396652.jpg
Lucky Number Slevin,(2006),"Adventure,Drama,Fantasy",This movie is a love story between an idealistic American nurse and a Turkish officer in World War I.,"https://m.media-amazon.com/images/M/MV5BMTg3ZDVlMjgtNTM4Yi00ZTQ3LThmM2QtYzdjZmRjMTcxMTkzXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_QL75_UX280_CR0,3,280,414_.jpg",4943322,https://www.imdb.com/title/tt4943322/,129 min,UA,"670,298",7.5,Posters/4943322.jpg
Beasts of the Southern Wild,(2012),"Comedy,Drama,Family",A veteran detective is assigned a rookie partner after his previous partner is killed by a car theft gang. He is determined to apprehend those responsible for his friend's death but his new partner isn't really up to the task.,"https://m.media-amazon.com/images/M/MV5BOGE2ZjQ3MmUtM2ZkNS00MjAxLTg1NzktNmVjNzZiMmU0MDU4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX280_CR0,3,280,414_.jpg",100514,https://www.imdb.com/title/tt0100514/,103 min,U,"102,423",5.5,Posters/100514.jpg
Ice Princess,(2005),"Drama,War","A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times.","https://m.media-amazon.com/images/M/MV5BMTAyOTI3OTgwMTdeQTJeQWpwZ15BbWU4MDAwNzM2NDUx._V1_QL75_UX280_CR0,3,280,414_.jpg",1441953,https://www.imdb.com/title/tt1441953/,101 min,UA,"442,860",7.1,Posters/1441953.jpg
The Ottoman Lieutenant,(2017),"Action,Crime,Drama",An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.,"https://m.media-amazon.com/images/M/MV5BMjA1OTk2NTI4NF5BMl5BanBnXkFtZTcwOTA5NTE5Ng@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1213648,https://www.imdb.com/title/tt1213648/,143 min,UA,"17,715",5.6,Posters/1213648.jpg
The Rookie,(1990),"Biography,Drama,History",Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,"https://m.media-amazon.com/images/M/MV5BMDVlZTEwMTItNmE4Zi00ZGFhLWI4NjgtMDdiZTA5NDdmNWYyXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",11084896,https://www.imdb.com/title/tt11084896/,115 min,R,"36,797",6.5,Posters/11084896.jpg
Testament of Youth,(2014),"Crime,Drama","Follows a New York City family hiding out in the Hamptons whose bubble is popped when a Bloody Mary-swilling, pot-smoking 'Charlie' comes to bring a lifetime of hurt that might heal them all.","https://m.media-amazon.com/images/M/MV5BMWI3ODlkZmMtZTFiNS00MTE2LTljYTUtZmZjMGFkMzMwMGRhXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX280_CR0,3,280,414_.jpg",16021872,https://www.imdb.com/title/tt16021872/,60 min,R,"69,893",6.4,Posters/16021872.jpg
London Boulevard,(2010),"Animation,Adventure,Comedy",Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.,"https://m.media-amazon.com/images/M/MV5BMTg4MDk4MTUxMF5BMl5BanBnXkFtZTgwNDE5NjA5MjI@._V1_QL75_UX280_CR0,3,280,414_.jpg",5390504,https://www.imdb.com/title/tt5390504/,128 min,UA,"124,826",7.2,Posters/5390504.jpg
Spirit Untamed,(2021),Comedy,"Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.","https://m.media-amazon.com/images/M/MV5BMTk0MDYxNTE0OV5BMl5BanBnXkFtZTgwODgyNjU3NTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",1596345,https://www.imdb.com/title/tt1596345/,97 min,A,"460,828",7.9,Posters/1596345.jpg
Detroit,(2017),"Crime,Drama,History","As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","https://m.media-amazon.com/images/M/MV5BYmRiMDhhYzYtYjgwZS00NWY3LWIzYzktMjI4M2UwMjk2M2U0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",7569592,https://www.imdb.com/title/tt7569592/,146 min,A,"87,637",7.2,Posters/7569592.jpg
Pawn Sacrifice,(2014),"Biography,Drama,History",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_QL75_UX280_CR0,3,280,414_.jpg",6139732,https://www.imdb.com/title/tt6139732/,116 min,A,"22,748",7.6,Posters/6139732.jpg
Beauty Shop,(2005),Comedy,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","https://m.media-amazon.com/images/M/MV5BMTAzODc3NjU1NzNeQTJeQWpwZ15BbWU4MDk5NTQ4NTMx._V1_QL75_UX280_CR0,3,280,414_.jpg",2397535,https://www.imdb.com/title/tt2397535/,116 min,A,"244,996",6.4,Posters/2397535.jpg
Chilling Adventures of Sabrina,(2018–2020),"Drama,Fantasy,Horror",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,"https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_QL75_UX280_CR0,3,280,414_.jpg",1951264,https://www.imdb.com/title/tt1951264/,105 min,18,"8,196",7.7,Posters/1951264.jpg
Aladdin,(2019),"Adventure,Comedy,Family","While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down.","https://m.media-amazon.com/images/M/MV5BMTM3NDMyNzgzMV5BMl5BanBnXkFtZTcwMjIyMTA1Nw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1232200,https://www.imdb.com/title/tt1232200/,137 min,R,"13,263",6.4,Posters/1232200.jpg
Predestination,(I) (2014),"Action,Drama,Sci-Fi","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.","https://m.media-amazon.com/images/M/MV5BNWY1NDI0ZTQtMjJiNS00ODY4LWE1NmUtYTkwNzY3NWQ0ZDZjXkEyXkFqcGdeQXVyMTM0NTc2NDgw._V1_QL75_UX280_CR0,3,280,414_.jpg",405422,https://www.imdb.com/title/tt0405422/,110 min,PG-13,"21,956",6.6,Posters/405422.jpg
The Hunger Games: Catching Fire,(2013),"Action,Adventure,Sci-Fi",A determined hairstylist (Queen Latifah) competes with her former boss (Kevin Bacon) after opening her own business in Atlanta.,"https://m.media-amazon.com/images/M/MV5BM2Y4OTQ1NzYtYzlmMi00ZTdmLTk5YzYtOWYxZGE5MTI4OGY5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UX280_CR0,3,280,414_.jpg",388500,https://www.imdb.com/title/tt0388500/,99 min,UA,"124,218",6.6,Posters/388500.jpg
That's My Boy,(2012),Comedy,"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.","https://m.media-amazon.com/images/M/MV5BYWM1ZmU5NWItZDM0ZC00MTk5LThiMTktZGUxOThjNzI5NTcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",338188,https://www.imdb.com/title/tt0338188/,143 min,R,"41,691",6.1,Posters/338188.jpg
The 40 Year Old Virgin,(2005),"Comedy,Romance",An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,"https://m.media-amazon.com/images/M/MV5BMTY3NDQxMDAzM15BMl5BanBnXkFtZTcwNzEyNjgzNw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1591479,https://www.imdb.com/title/tt1591479/,138 min,UA 16+,"1,680",6.7,Posters/1591479.jpg
Sunshine,(2007),"Sci-Fi,Thriller","Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days.","https://m.media-amazon.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_QL75_UX280_CR0,3,280,414_.jpg",251127,https://www.imdb.com/title/tt0251127/,115 min,PG-13,"36,601",6.1,Posters/251127.jpg
How to Lose a Guy in 10 Days,(2003),"Comedy,Romance",A young film student in the early '80s becomes romantically involved with a complicated and untrustworthy man.,"https://m.media-amazon.com/images/M/MV5BMTk2NjY3NDYzN15BMl5BanBnXkFtZTgwOTUxNzg0NzM@._V1_QL75_UX280_CR0,3,280,414_.jpg",6920356,https://www.imdb.com/title/tt6920356/,98 min,16,"33,447",7.9,Posters/6920356.jpg
The Souvenir,(2000),"Drama,Music,Romance","After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","https://m.media-amazon.com/images/M/MV5BNjVjYmQ4N2QtNzc1Yi00MzI0LTlmNWMtZTU2MjcxYzIwYmY4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX280_CR0,3,280,414_.jpg",14069590,https://www.imdb.com/title/tt14069590/,182 min,UA,"346,839",6.1,Posters/14069590.jpg
Dota: Dragon's Blood,(2000),Comedy,Follows the investigation into a hoax caller who convinced managers to strip-search employees at fast food businesses across the United States.,"https://m.media-amazon.com/images/M/MV5BNGJjMDcxNWUtMjc3Mi00NTFjLWE0NzktNzg1ZmNjODI5NzhmXkEyXkFqcGdeQXVyMDMxMTgwOQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",23826740,https://www.imdb.com/title/tt23826740/,30 min,UA,"21,045",5.8,Posters/23826740.jpg
Don't Pick Up the Phone,(1990),"Action,Crime,Sci-Fi","Spinoff series of 'When Calls the Heart' centering on the lives of orphan siblings Lillian and Grace, who grow up apart but reunite later in adulthood in the early 1900s.","https://m.media-amazon.com/images/M/MV5BYWMwN2QxM2MtYTIwOC00M2I4LWI3YTYtOTBiZTNkZWU0YWNkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",10731840,https://www.imdb.com/title/tt10731840/,30 min,18,"12,742",5.6,Posters/10731840.jpg
RoboCop 2,(2019– ),"Drama,Romance","Anthological series that uses the boldest issues of our times as a jumping-off point to tell singular, character-driven stories about today's world.","https://m.media-amazon.com/images/M/MV5BNmJhODU3NzQtMzAzZi00NzQ2LTkwYjYtOWYxNTAwYTYxYjQ3XkEyXkFqcGdeQXVyNjMxMTc1MTk@._V1_QL75_UX280_CR0,3,280,414_.jpg",438719,https://www.imdb.com/title/tt0438719/,-,R,"106,009",6.7,Posters/438719.jpg
The Letdown,(2023),"Crime,Drama","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.","https://m.media-amazon.com/images/M/MV5BZDdlMzFmNTAtN2IzNi00NGIxLWFkNGUtZGU1NTJiNGEwYTg5XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX280_CR0,3,280,414_.jpg",445114,https://www.imdb.com/title/tt0445114/,30 min,U,669,7.6,Posters/445114.jpg
Bad Behind Bars: Jodi Arias,(1997),"Comedy,Drama,Romance","Andy Millman is an actor with ambition and a script. Reduced to working as an extra with a useless agent, Andy's attempts to boost his career invariably end in failure and embarrassment.","https://m.media-amazon.com/images/M/MV5BYzg4ZmYyMDMtOWU2NS00MzE2LWJkYzktY2Q0MDM1ZGNhMDQxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",8543390,https://www.imdb.com/title/tt8543390/,123 min,UA,"292,358",7.3,Posters/8543390.jpg
Extras,(2019–2021),"Comedy,Romance","A group of actors move to Los Angeles to make it big, but end up working as caterers.","https://m.media-amazon.com/images/M/MV5BN2RkYWVkZDQtNTMxMi00NWQ4LWE2ODctNmQzOWM2NjQzYzdlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX280_CR0,3,280,414_.jpg",120755,https://www.imdb.com/title/tt0120755/,95 min,UA,"25,716",7.2,Posters/120755.jpg
Party Down,(2009–2023),"Comedy,Drama","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","https://m.media-amazon.com/images/M/MV5BYjFlZmMxNGMtMzkxOC00ZTZjLTliMDItN2Q1MjVmZjY4ZjYxXkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_QL75_UX280_CR0,3,280,414_.jpg",11188682,https://www.imdb.com/title/tt11188682/,-,Unrated,"39,624",6.9,Posters/11188682.jpg
Mission: Impossible II,(2000),"Action,Adventure,Thriller","A whip-smart Cambodian doctor comes to the U.S. for a medical treatment to save her son, but when the system fails and pushes her into hiding, she uses her cunning and intelligence to fight back, breaking the law for all the right reasons.","https://m.media-amazon.com/images/M/MV5BZWY1YWUwNjQtMDk2Zi00MDJiLWIzMDAtNzAyNjJiYTFlMGI0XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_QL75_UX280_CR0,3,280,414_.jpg",108186,https://www.imdb.com/title/tt0108186/,92 min,R,"49,911",7.2,Posters/108186.jpg
Son in Law,(1993),"Comedy,Drama,Romance","A 1980's series of events revolving around Benny Zerletta (William DeMeo), a Brooklyn based Italian-American, soldier in the Colezzo crime family. Benny depicts the difficulties that he ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BZmJmZTk0Y2MtY2QyZS00YjI0LWI3MmMtZDI5ZTUwYjA4NWFjXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX280_CR0,3,280,414_.jpg",8231668,https://www.imdb.com/title/tt8231668/,-,R,"20,840",6.8,Posters/8231668.jpg
Good on Paper,(2021),"Comedy,Romance","Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.","https://m.media-amazon.com/images/M/MV5BYjcwYmJkMjMtZmM5Ni00MDVkLWEzNjItZTkwNTlmZjk5YzI4XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_QL75_UX280_CR0,3,280,414_.jpg",8878996,https://www.imdb.com/title/tt8878996/,30 min,PG-13,"46,942",5.8,Posters/8878996.jpg
The Hills: New Beginnings,(2019–2021),Reality-TV,"Bridging gaming and live-action, the thriller looks into aspect the villains of the game and the dramatic backstory as it unfolds.","https://m.media-amazon.com/images/M/MV5BOWQ4MTQ3ZDUtMjg5YS00NTJmLWFiMTMtZDM0MWJjNjIyMTE4XkEyXkFqcGdeQXVyMzYxNTQyMTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",1332071,https://www.imdb.com/title/tt1332071/,105 min,15+,"405,997",9.2,Posters/1332071.jpg
Quantum Break,(2016),"Action,Mystery,Sci-Fi","A unique blend of noir science fiction and erotic programming that combines intelligent scripts and attractive characters with great production value. Set in the near future, the stories ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",120762,https://www.imdb.com/title/tt0120762/,94 min,A,"8,082",6.7,Posters/120762.jpg
Veronica Guerin,(2003),"Biography,Crime,Drama","Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.","https://m.media-amazon.com/images/M/MV5BYjc5MjA1ZWYtNTgxMi00ZTlkLWExZTctMTFkNDFlOTdlZmRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",102558,https://www.imdb.com/title/tt0102558/,115 min,A,"93,290",6.2,Posters/102558.jpg
Mulan,(1998),"Animation,Adventure,Comedy",A businessman and his friends are captured by a sadistic judge and his equally odd family in a bizarre mansion in the backwoods.,"https://m.media-amazon.com/images/M/MV5BNjk3MGZhMjEtOTM4NC00NzE2LTk2NzctZDc4YTUwN2E3NDhhXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1877832,https://www.imdb.com/title/tt1877832/,120 min,R,"7,739",6.5,Posters/1877832.jpg
Sleepy Hollow,(1999),"Fantasy,Horror,Mystery",The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"https://m.media-amazon.com/images/M/MV5BNzM2MzU1NTM4NF5BMl5BanBnXkFtZTgwNTMwMzI1NjM@._V1_QL75_UX280_CR0,3,280,414_.jpg",7008872,https://www.imdb.com/title/tt7008872/,22 min,A,"15,235",7.4,Posters/7008872.jpg
Nothing But Trouble,(1991),Comedy,The son of a Baptist preacher unwillingly participates in a church-supported gay conversion program after being forcibly outed to his parents.,"https://m.media-amazon.com/images/M/MV5BMjIxNzE0NjY1Nl5BMl5BanBnXkFtZTgwNjYzOTkxOTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",4190530,https://www.imdb.com/title/tt4190530/,98 min,PG-13,"31,002",6.8,Posters/4190530.jpg
Boy Erased,(2018),"Biography,Drama",A comedy news show featuring humorous takes on top stories.,"https://m.media-amazon.com/images/M/MV5BZWZhZDdiMDYtYTRkMi00MzEzLWI0NjgtZjJjODFmN2ZjNmZmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_QL75_UX280_CR0,3,280,414_.jpg",312549,https://www.imdb.com/title/tt0312549/,119 min,16,"3,130",6.6,Posters/312549.jpg
The Daily Show,(1996– ),"Comedy,News,Talk-Show","When his best friend Mapplethorpe dies suddenly in an abandoned park, Chester discovers that his friend now ""lives"" with other children in the park, leading them to reestablish their friendship as they go through a difficult adolescence.","https://m.media-amazon.com/images/M/MV5BMTI1NDA1MTMwNl5BMl5BanBnXkFtZTcwNTg0MDE4Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",450405,https://www.imdb.com/title/tt0450405/,55 min,U,"8,754",6.3,Posters/450405.jpg
Six Minutes to Midnight,(2020),"Drama,Thriller,War","Teenager Darren Shan meets a mysterious man at a freak show who turns out to be a vampire. After a series of events, Darren must leave his normal life and go on the road with the Cirque du Freak, becoming a creature of the night.","https://m.media-amazon.com/images/M/MV5BNjUzMWVkYmEtZWMxOC00MTM4LThiNjEtMDMyOGUwMjdmOTBiXkEyXkFqcGdeQXVyMTM3NDc1OTM2._V1_QL75_UX280_CR0,3,280,414_.jpg",10468596,https://www.imdb.com/title/tt10468596/,114 min,R,"36,283",6.5,Posters/10468596.jpg
Crazy Fun Park,(2023– ),Adventure,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",141842,https://www.imdb.com/title/tt0141842/,100 min,PG,"55,011",7.4,Posters/141842.jpg
Cirque du Freak: The Vampire's Assistant,(2009),"Action,Adventure,Fantasy","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","https://m.media-amazon.com/images/M/MV5BZGFmNmRlZmQtMDAyYy00NTJjLTg2ODQtZDI0OWE3M2I2NDcyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX280_CR0,3,280,414_.jpg",7985704,https://www.imdb.com/title/tt7985704/,111 min,PG-13,"39,700",6.7,Posters/7985704.jpg
Perusona 5: Za roiyaru,(2019 Video Game),"Action,Adventure,Comedy",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"https://m.media-amazon.com/images/M/MV5BOTJiMmZmNjgtNjM0ZC00MTA3LTkyODctMzQwOGM0OWZiMTk0XkEyXkFqcGdeQXVyMTU0NzUyMjEy._V1_QL75_UX280_CR0,3,280,414_.jpg",21307994,https://www.imdb.com/title/tt21307994/,100 min,R,"38,897",6.9,Posters/21307994.jpg
The Sopranos,(1999–2007),"Crime,Drama","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.","https://m.media-amazon.com/images/M/MV5BYTc0NWIwOTYtNzEwYi00YmUyLTlmYWYtYjJiZjRjN2RjMjAxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",3811906,https://www.imdb.com/title/tt3811906/,40 min,R,"2,926",5.7,Posters/3811906.jpg
Operation Fortune: Ruse de guerre,(2023),"Action,Comedy,Thriller","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.","https://m.media-amazon.com/images/M/MV5BZDBhMDJkYjItODFlNi00NjMzLWE3MmQtZmUwNGQzMWE4NjMxXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX280_CR0,3,280,414_.jpg",10344522,https://www.imdb.com/title/tt10344522/,43 min,13,"7,802",7.7,Posters/10344522.jpg
